,German,English
158,dann,then
159,sie,she
160,schreiben,write
161,würde,would
162,wie,How
163,so,so
164,diese,this
165,sie,she
166,lange,long
167,machen,make
168,Sache,Matter
169,sehen,see
170,ihm,him
171,zwei,two
172,hat,has
173,suchen,seek
174,mehr,more
175,Tag,day
176,könnte,could
177,gehen,go
178,kommen,come
179,tat,did
180,Anzahl,Number
181,klingen,sound
182,nicht,not
183,am meisten,the most
184,Menschen,People
185,meine,mine
186,über,above
187,wissen,knowledge
188,Wasser,Water
189,als,as
190,Anruf,Call
191,erste,first
192,die,the
193,können,can
194,nach unten,downward
195,Seite,Page
196,gewesen,been
197,jetzt,now
198,finden,find
199,Kopf,Head
200,stehen,stand
201,besitzen,own
202,Seite,Page
203,sollte,should
204,Land,country
205,gefunden,found
206,Antwort,Answer
207,Schule,School
208,wachsen,grow
209,Studie,study
210,noch,still
211,lernen,learn
212,Anlage,Attachment
213,Abdeckung,cover
214,Lebensmittel,Groceries
215,Sonne,Sun
216,vier,four
217,zwischen,between
218,Zustand,Condition
219,halten,hold
220,Auge,Eye
221,nie,never
222,letzte,last
223,lassen,let
224,Gedanken,Thoughts
225,Stadt,City
226,Baum,Tree
227,überqueren,cross over
228,Bauernhof,Farm yard
229,schwer,difficult
230,Beginn,Beginn
231,Macht,Power
232,Geschichte,Story
233,Säge,saw
234,weit,far
235,Meer,sea
236,ziehen,pull
237,links,left
238,spät,late
239,laufen,run
240,unterlassen Sie,do not
241,während,while
242,Presse,press
243,Schließen,Close
244,Nacht,Night
245,realen,real
246,Leben,Life
247,wenige,few
248,Norden,north
249,Buch,Book
250,tragen,carry
251,nahm,took
252,Wissenschaft,Science
253,essen,eat
254,Zimmer,Room
255,Freund,Friend
256,begann,began
257,Idee,idea
258,Fisch,Fish
259,berg,mountain
260,Stopp,stop
261,einmal,once
262,Basis,base
263,hören,hear
264,Pferd,Horse
265,Schnitt,cut
266,sicher,secure
267,beobachten,observe
268,Farbe,Color
269,Gesicht,Face
270,Holz,Wood
271,Haupt-,Main-
272,geöffnet,open
273,scheinen,seem
274,zusammen,together
275,nächste,next
276,weiß,white
277,Kinder,Children
278,Start,start
279,bekam,got
280,gehen,go
281,Beispiel,Example
282,erleichtern,facilitate
283,Papier,Paper
284,Gruppe,group
285,immer,always
286,Musik,Music
287,diejenigen,those
288,beide,both
289,Marke,brand
290,oft,often
291,Schreiben,Write
292,bis,until
293,Meile,mile
294,Fluss,Flow
295,Auto,car
296,Füße,Feet
297,Pflege,Care
298,zweite,second
299,genug,enough
300,Ebene,level
301,Mädchen,Girl
302,üblich,usual
303,jung,young
304,bereit,ready
305,oben,above
306,je,each
307,rot,red
308,Liste,list
309,obwohl,although
310,fühlen,feel
311,Vortrag,Speech
312,Vogel,Bird
313,bald,soon
314,Körper,Body
315,Hund,Dog
316,Familie,Family
317,direkt,direct
318,Pose,pose
319,verlassen,leave
320,Lied,song
321,messen,measure
322,Tür,door
323,Produkt,product
324,schwarz,black
325,kurz,short
326,Zahl,Number
327,Klasse,Class
328,Wind,wind
329,Frage,Ask
330,passieren,happen
331,vollständig,complete
332,Schiff,Ship
333,Bereich,Area
334,Hälfte,half
335,Stein,Stone
336,bestellen,order
337,Feuer,Fire
338,Süden,south
339,Problem,problem
340,Stück,Piece
341,sagte,said
342,wusste,knew
343,passieren,happen
344,seit,since
345,obere,upper
346,ganze,whole
347,König,king
348,Straße,Street
349,Zoll,Customs
350,multiplizieren,multiply
351,nichts,nothing
352,Kurs,Course
353,bleiben,remain
354,Rad,wheel
355,voll,full
356,Kraft,Power
357,blau,blue
358,Objekt,object
359,entscheiden,decide
360,Oberfläche,surface
361,tief,deep
362,Mond,moon
363,Insel,Island
364,Fuß,Foot
365,System,system
366,beschäftigt,busy
367,Prüfung,Test
368,Rekord,record
369,Boot,boat
370,gemeinsam,together
371,goldenen,golden
372,möglich,possible
373,Flugzeug,Airplane
374,statt,instead of
375,trocken,dry
376,Wunder,Wonder
377,Lachen,Laugh
378,tausend,thousand
379,vor,before
380,lief,ran
381,überprüfen,check
382,Spiel,Game
383,Form,form
384,gleichsetzen,equate
385,heiß,hot
386,Fehl,Missing
387,gebracht,brought
388,Wärme,warmth
389,Schnee,Snow
390,Reifen,Tires
391,bringen,bring
392,ja,Yes
393,entfernt,removed
394,füllen,fill
395,Osten,east
396,malen,paint
397,Sprache,Language
398,unter,under
399,Einheit,Unit
400,Macht,Power
401,Stadt,City
402,fein,fine
403,sicher,secure
404,fliegen,fly
405,fallen,fall
406,führen,lead
407,Schrei,scream
408,dunkel,dark
409,Maschine,machine
410,note,note
411,warten,wait
412,Plan,plan
413,Abbildung,illustration
414,Stern,star
415,Kasten,Crate
416,Nomen,noun
417,Feld,Field
418,Rest,rest
419,richtig,correct
420,fähig,capable
421,Pfund,pound
422,getan,did
423,Schönheit,beauty
424,Antriebs,drive
425,stand,stand
426,enthalten,contain
427,Front,front
428,lehren,teach
429,Woche,Week
430,Finale,final
431,gab,gave
432,grün,green
433,oh,Oh
434,schnell,fast
435,entwickeln,develop
436,Ozean,ocean
437,warme,warmth
438,kostenlos,for free
439,Minute,minute
440,stark,strong
441,besondere,special
442,Geist,Spirit
443,hinter,behind
444,klar,clear
445,Schwanz,tail
446,produzieren,produce
447,Tatsache,fact
448,Raum,Space
449,gehört,heard
450,beste,best
451,Stunde,Hour
452,besser,better
453,wahr,true
454,während,while
455,hundert,hundred
456,fünf,five
457,merken,remember
458,Schritt,Step
459,früh,early
460,halten,hold
461,Westen,west
462,Boden,Floor
463,Interesse,interest
464,erreichen,to reach
465,schnell,fast
466,Verbum,verb
467,singen,sing
468,hören,hear
469,sechs,six
470,Tabelle,Table
471,Reise,Trip
472,weniger,fewer
473,Morgen,Morning
474,zehn,ten
475,einfach,simply
476,mehrere,several
477,Vokal,Vocal
478,auf,on
479,Krieg,War
480,legen,place
481,gegen,against
482,Muster,Pattern
483,schleppend,sluggish
484,Zentrum,center
485,Liebe,Love
486,Person,person
487,Geld,Money
488,dienen,serve
489,erscheinen,appear
490,Straße,Street
491,Karte,Map
492,regen,rain
493,Regel,Rule
494,regieren,govern
495,ziehen,pull
496,Kälte,cold
497,Hinweis,Notice
498,Stimme,Agree
499,Energie,energy
500,Jagd,hunting
501,wahrscheinlich,probably
502,Bett,Bed
503,Bruder,Brother
504,Ei,egg
505,Fahrt,Drive
506,Zelle,cell
507,glauben,believe
508,vielleicht,perhaps
509,pflücken,pick
510,plötzlich,suddenly
511,zählen,to count
512,Platz,Place
513,Grund,Reason
514,Dauer,Length of time
515,vertreten,represent
516,Kunst,Art
517,Thema,Theme
518,Region,region
519,Größe,Size
520,variieren,vary
521,regeln,regulate
522,sprechen,speak
523,Gewicht,Weight
524,allgemein,generally
525,Eis,Ice
526,Materie,matter
527,Kreis,Circle
528,Paar,Couple
529,umfassen,include
530,Kluft,gap
531,Silbe,syllable
532,Filz,felt
533,groß,large
534,Kugel,Bullet
535,noch,still
536,Welle,Wave
537,fallen,fall
538,Herz,Heart
539,Uhr,Clock
540,vorhanden,available
541,schwer,difficult
542,Tanz,dance
543,Motor,Motor
544,Position,position
545,Arm,arm
546,breit,broad
547,Segel,sail
548,Material,material
549,Fraktion,fraction
550,Wald,Forest
551,sitzen,sit
552,Rennen,Run
553,Fenster,Window
554,Speicher,memory
555,Sommer,Summer
556,Zug,Train
557,Schlaf,Sleep
558,beweisen,prove
559,einsam,lonely
560,Bein,leg
561,Übung,Exercise
562,Wand,Wall
563,Fang,Catch
564,Berg,Mountain
565,wünschen,wish
566,Himmel,Heaven
567,Board,board
568,Freude,Joy
569,Winter,winter
570,sa,sa
571,geschrieben,written
572,wilden,wild
573,Instrument,instrument
574,gehalten,held
575,Glas,Glass
576,Gras,grass
577,Kuh,Cow
578,Arbeit,Work
579,Rand,edge
580,Zeichen,Sign
581,Besuch,Visit
582,Vergangenheit,Past
583,weich,soft
584,Spaß,Fun
585,hell,bright
586,Gases,Gases
587,Wetter,Weather
588,Monat,Month
589,Million,million
590,tragen,carry
591,Finish,finish
592,glücklich,happy
593,hoffen,hope
594,blume,flower
595,kleiden,dress
596,seltsam,strange
597,Handel,Trade
598,Melodie,melody
599,Reise,Trip
600,Büro,Office
601,empfangen,received
602,Reihe,Row
603,Mund,mouth
604,genau,Exactly
605,Zeichen,Sign
606,sterben,die
607,am wenigsten,the least
608,Ärger,Trouble
609,Schrei,scream
610,außer,except
611,schrieb,wrote
612,Samen,seeds
613,Ton,clay
614,beitreten,join
615,vorschlagen,suggest
616,sauber,clean
617,Pause,pause
618,Dame,lady
619,Hof,Courtyard
620,steigen,climb
621,schlecht,bad
622,Schlag,blow
623,Öl,oil
624,Blut,blood
625,berühren,touch
626,wuchs,growth
627,Cent,cent
628,mischen,mix
629,Mannschaft,team
630,Draht,wire
631,Kosten,Cost
632,verloren,lost
633,braun,brown
634,tragen,carry
635,Garten,Garden
636,gleich,even
637,gesendet,sent
638,wählen,choose
639,fiel,fell
640,passen,fit
641,fließen,flow
642,Messe,Fair
643,Bank,bank
644,sammeln,collect
645,sparen,save
646,Kontrolle,control
647,dezimal,decimal
648,Ohr,Ear
649,sonst,otherwise
650,ganz,quite
651,pleite,broke
652,Fall,case
653,Mitte,center
654,töten,kill
655,Sohn,Son
656,See,lake
657,Moment,moment
658,Maßstab,scale
659,laut,loud
660,Frühling,Spring
661,beobachten,observe
662,Kind,child
663,gerade,straight
664,Konsonant,consonant
665,Nation,nation
666,Wörterbuch,dictionary
667,milch,milk
668,Geschwindigkeit,speed
669,Verfahren,Proceedings
670,Orgel,organ
671,zahlen,pay
672,Alter,Old
673,Abschnitt,Section
674,Kleid,Dress
675,Wolke,Cloud
676,Überraschung,Surprise
677,Stein,Stone
678,winzig,tiny
679,Aufstieg,Ascent
680,kühlen,cool
681,Entwurf,Draft
682,arm,arm
683,Menge,Crowd
684,Versuch,Attempt
685,Boden,Floor
686,Schlüssel,Key
687,Eisen,iron
688,Einzel,Single
689,Stick,Embroidery
690,Wohnung,Apartment
691,zwanzig,twenty
692,Haut,skin
693,Lächeln,Smile
694,Falte,fold
695,Loch,Hole
696,springen,jump
697,Kind,child
698,acht,eight
699,Dorf,Village
700,treffen,meet
701,Wurzel,root
702,kaufen,buy
703,erhöhen,increase
704,lösen,solve
705,Metall,metal
706,ob,whether
707,drücken,press
708,sieben,seven
709,Absatz,Paragraph
710,dritte,third
711,wird,becomes
712,Hand,hand
713,Haar,hair
714,beschreiben,describe
715,Koch,Cook
716,Boden,Floor
717,entweder,either
718,Ergebnis,Result
719,brennen,burn
720,Hügel,hill
721,sicher,secure
722,Katze,Cat
723,Jahrhundert,century
724,betrachten,regard
725,Typ,type
726,Gesetz,Law
727,Bit,bit
728,Küste,coast
729,Kopie,copy
730,Ausdruck,Expression
731,still,quiet
732,hoch,high
733,Sand,sand
734,Boden,Floor
735,Rolle,role
736,Temperatur,temperature
737,Finger,finger
738,Industrie,industry
739,Wert,Value
740,Kampf,Battle
741,Lüge,lie
742,schlagen,hit
743,begeistern,inspire
744,natürlich,naturally
745,Blick,View
746,Sinn,sense
747,Hauptstadt,Capital city
748,wird nicht,will not
749,Stuhl,Chair
750,Achtung,Danger
751,Obst,Fruit
752,reich,rich
753,dick,thick
754,Soldat,soldier
755,Prozess,process
756,betreiben,operate
757,Praxis,Practice
758,trennen,separate
759,schwierig,difficult
760,Arzt,Physician
761,Bitte,Please
762,schützen,protect
763,Mittag,Midday
764,Ernte,harvest
765,modernen,modern
766,Elementes,Element
767,treffen,meet
768,Schüler,Pupils
769,Ecke,Corner
770,Partei,party
771,Versorgung,supply
772,deren,whose
773,lokalisieren,locate
774,Rings,Rings
775,Charakter,character
776,insekt,insect
777,gefangen,caught
778,Zeit,Time
779,zeigen,show
780,Funk,radio
781,Speiche,spoke
782,Atom,atom
783,Mensch,Person
784,Geschichte,Story
785,Wirkung,Effect
786,elektrisch,electric
787,erwarten,expect
788,Knochen,Bone
789,Schiene,rail
790,vorstellen,introduce
791,bieten,offer
792,zustimmen,agree
793,so,so
794,Frau,Woman
795,Kapitän,captain
796,erraten,guess
797,erforderlich,necessary
798,scharf,sharp
799,Flügel,wing
800,schaffen,create
801,Nachbar,Neighbor
802,Wasch,Wash
803,Fledermaus,bat
804,eher,rather
805,Menge,Crowd
806,mais,corn
807,vergleichen,compare
808,Gedicht,poem
809,Schnur,cord
810,Glocke,bell
811,abhängen,depend
812,Fleisch,Meat
813,einreiben,rub in
814,Rohr,Pipe
815,berühmt,famous
816,Dollar,dollar
817,Strom,Electricity
818,Angst,Fear
819,Blick,View
820,dünn,thin
821,Dreieck,triangle
822,Erde,Earth
823,Eile,Hurry
824,Chef,boss
825,Kolonie,colony
826,Uhr,Clock
827,Mine,mine
828,Krawatte,Necktie
829,eingeben,input
830,Dur,Major
831,frisch,fresh
832,Suche,Search
833,senden,send
834,gelb,yellow
835,Pistole,gun
836,erlauben,allow
837,Druck,Pressure
838,tot,dead
839,Stelle,Position
840,Wüste,Desert
841,Anzug,Men's suit
842,Strom,Electricity
843,Aufzug,Elevator
844,stiegen,rose
845,ankommen,arrive
846,Stamm,tribe
847,Spur,track
848,Elternteil,parent
849,Ufer,Riverbank
850,Teilung,division
851,Blatt,Sheet
852,Substanz,substance
853,begünstigen,favor
854,verbinden,connect
855,nach,after
856,verbringen,spend
857,Akkord,chord
858,Fett,Fat
859,froh,glad
860,Original,Original
861,Aktie,share
862,Station,station
863,Papa,papa
864,Brot,Bread
865,aufladen,charge
866,richtig,correct
867,Leiste,bar
868,Angebot,Offer
869,Segment,segment
870,Sklave,slave
871,ente,duck
872,Augenblick,moment
873,Markt,market
874,Grad,degree
875,besiedeln,colonize
876,küken,chick
877,liebe,love
878,Feind,Enemy
879,antworten,answer
880,Getränk,beverage
881,auftreten,appear
882,Unterstützung,Support
883,Rede,speech
884,Natur,Nature
885,Angebot,Offer
886,Dampf,steam
887,Bewegung,Movement
888,Weg,Away
889,Flüssigkeit,liquid
890,protokollieren,log
891,gemeint,meant
892,Quotient,quotient
893,Gebiss,denture
894,Schale,Peel
895,Hals,Neck
896,Sauerstoff,oxygen
897,Zucker,Sugar
898,Tod,Death
899,ziemlich,quite
900,Geschicklichkeit,skill
901,Frauen,Women
902,Lösung,Solution
903,Magnet,magnet
904,Silber,Silver
905,danken,thank
906,Zweig,branch
907,Spiel,Game
908,Suffix,suffix
909,insbesondere,in particular
910,Feige,Cowardly
911,ängstlich,fearful
912,riesig,gigantic
913,Schwester,Sister
914,Stahl,Steel
915,diskutieren,discuss
916,vorwärts,forward
917,ähnlich,similar
918,führen,lead
919,Erfahrung,Experience
920,Partitur,score
921,apfel,apple
922,gekauft,bought
923,geführt,led
924,Tonhöhe,pitch
925,Mantel,Coat
926,Masse,mass
927,Karte,Map
928,Band,band
929,Seil,Rope
930,Rutsch,Slide
931,gewinnen,win
932,träumen,dream
933,Abend,Evening
934,Zustand,Condition
935,Futtermittel,Animal feed
936,Werkzeug,Tool
937,gesamt,in total
938,Basis,base
939,Geruch,Odor
940,Tal,valley
941,noch,still
942,doppelt,double
943,Sitz,seat
944,fortsetzen,continue
945,Block,block
946,Tabelle,Table
947,Hut,hat
948,verkaufen,sell
949,Erfolg,Success
950,Firma,company
951,subtrahieren,subtract
952,Veranstaltung,Event
953,besondere,special
954,viel,much
955,schwimmen,to swim
956,Begriff,Expression
957,Gegenteil,Opposite
958,Frau,Woman
959,Schuh,shoe
960,Schulter,shoulder
961,Verbreitung,spread
962,arrangieren,arrange
963,Lager,warehouse
964,erfinden,invent
965,Baumwolle,Cotton
966,geboren,born
967,bestimmen,determine
968,Quart,quart
969,neun,nine
970,Lastwagen,truck
971,Lärm,Noise
972,Ebene,level
973,Chance,chance
974,sammeln,collect
975,Geschäft,Business
976,Stretch,Stretch
977,werfen,throw
978,Glanz,Shine
979,Immobilien,property
980,Spalte,Split
981,Molekül,molecule
982,wählen,choose
983,falsch,incorrect
984,grau,gray
985,Wiederholung,Repetition
986,erfordern,require
987,breit,broad
988,vorbereiten,prepare
989,Salz,Salt
990,Nase,Nose
991,mehreren,several
992,Zorn,anger
993,Anspruch,Claim
994,Kontinent,continent
